Date,Close/Last,Volume,Open,High,Low
7/1/2019,$370.67 ,993457,$371.29 ,$371.61 ,$367.99 
6/28/2019,$368.15 ,1230533,$357.24 ,$369 ,$354.64 
6/27/2019,$356.50 ,681215,$358.94 ,$359.17 ,$352.53 
6/26/2019,$356.37 ,738041,$358.15 ,$359.00 ,$354.48 
6/25/2019,$358.08 ,753899,$358.21 ,$362.16 ,$354.88 
6/24/2019,$357.74 ,754653,$361.60 ,$363.28 ,$357.61 
6/21/2019,$361.56 ,1575202,$356.90 ,$363.58 ,$355.84 
6/20/2019,$358.57 ,981387,$355.32 ,$359.79 ,$352.25 
6/19/2019,$351.94 ,909701,$346.48 ,$352.82 ,$346.33 
6/18/2019,$347.85 ,950446,$353.72 ,$354.10 ,$347.40 
6/17/2019,$351.11 ,911767,$344.92 ,$352.61 ,$344.69 
6/14/2019,$344 ,741368,$341.30 ,$344.36 ,$340.43 
6/13/2019,$341.28 ,578447,$340 ,$342.71 ,$338.54 
6/12/2019,$339.15 ,543309,$334.53 ,$340 ,$333.89 
6/11/2019,$335.89 ,795767,$340.25 ,$344.59 ,$333.55 
6/10/2019,$337.12 ,1069004,$335.03 ,$341.24 ,$334.57 
6/7/2019,$335.49 ,1313428,$321.04 ,$340.11 ,$320.48 
6/6/2019,$318.56 ,503308,$318.18 ,$320 ,$317.09 
6/5/2019,$318.14 ,710015,$315.56 ,$319.57 ,$314.57 
6/4/2019,$313.83 ,916601,$307.20 ,$314.23 ,$304.08 
6/3/2019,$303.72 ,1062325,$306.88 ,$312.55 ,$302.72 
5/31/2019,$306.91 ,844765,$308.03 ,$310.97 ,$306.10 
5/30/2019,$311.20 ,635276,$309.26 ,$313.73 ,$309 
5/29/2019,$308.28 ,648984,$310.42 ,$313.91 ,$307.30 
5/28/2019,$313 ,1153829,$312.82 ,$319.75 ,$312.77 
5/24/2019,$312.45 ,599871,$311.64 ,$315.50 ,$311.64 
5/23/2019,$308.97 ,707895,$310 ,$313.20 ,$305.50 
5/22/2019,$312.83 ,627544,$304.44 ,$314.21 ,$303.95 
5/21/2019,$306.47 ,869534,$304.17 ,$313.30 ,$304.17 
5/20/2019,$300.59 ,766479,$304.62 ,$306.90 ,$300.35 
5/17/2019,$307.63 ,744048,$307.10 ,$313.19 ,$307.10 
5/16/2019,$309.85 ,843394,$307.41 ,$310.55 ,$307.41 
5/15/2019,$306.58 ,894668,$301.95 ,$308.23 ,$301 
5/14/2019,$304.56 ,1066074,$303.25 ,$307.38 ,$301.55 
5/13/2019,$300.87 ,1082521,$307.95 ,$309.99 ,$300.42 
5/10/2019,$315.81 ,1095776,$315.32 ,$319.08 ,$306.36 
5/9/2019,$317.37 ,1028475,$318.32 ,$318.76 ,$310.64 
5/8/2019,$319.43 ,714865,$318.59 ,$322.83 ,$316.10 
5/7/2019,$320.51 ,908401,$321.45 ,$323.26 ,$317.52 
5/6/2019,$324.76 ,891329,$318.07 ,$326.30 ,$316 
5/3/2019,$325.52 ,1192779,$315.74 ,$325.96 ,$314.64 
5/2/2019,$312.69 ,831259,$309.22 ,$314.90 ,$308.63 
5/1/2019,$310.12 ,853408,$311.77 ,$312.90 ,$308.41 
4/30/2019,$312 ,1124555,$312.49 ,$315 ,$309.31 
4/29/2019,$312.04 ,1585187,$313.74 ,$316.75 ,$306.85 
4/26/2019,$314.04 ,2152233,$315 ,$315.80 ,$305.19 
4/25/2019,$319.20 ,1237161,$314.12 ,$320.85 ,$312.50 
4/24/2019,$314.52 ,899498,$321.96 ,$323.42 ,$314 
4/23/2019,$322.06 ,1318583,$315.42 ,$325.12 ,$314.01 
